Product_Name,Brand_Name,Price_,Rating_,Number_of_Buyers,Total_Sold,Available_Stock,Main_Category,Sub_Category,Discount_,Seller,Return_Policy
deshmukh-wali libero plus washing machines 8,deshmukh-wali libero,18076.9,4.2,997,7504,3234,appliances,washing machines,44,homecare solutions,False
sarraf ltd autem ultra jeans 10,sarraf ltd,45143.54,4.4,5869,5121,2375,fashion,jeans,37,fashionplus,False
nayar-chowdhury minus plus jeans 11,nayar-chowdhury minus,33921.97,4.4,951,7566,1831,fashion,jeans,50,mobilehub,False
mutti-pandit omnis pro laptops 12,mutti-pandit omnis,153135.29,3.0,2278,5736,1577,electronics,laptops,0,fashionplus,False
kibe-sastry dignissimos ultra headphones 3,kibe-sastry dignissimos,534.36,4.5,3265,761,241,electronics,headphones,68,mobilehub,False
kothari and sons molestiae plus kitchenware 8,kothari and,36897.67,3.8,514,8048,3684,home,kitchenware,15,cloudtail india,False
sarna group cum lite decor 9,sarna group,37406.21,3.8,4289,861,248,home,decor,49,cloudtail india,False
golla-manne vel ultra acs 13,golla-manne vel,732.43,4.5,7910,8597,2142,appliances,acs,18,retailnet,False
"gokhale, de and madan asperiores lite smartphones 12","gokhale, de",16517.41,3.9,4308,8618,1524,electronics,smartphones,35,supercomnet,False
kadakia-patla earum pro acs 10,kadakia-patla earum,7979.34,3.1,5937,6938,2462,appliances,acs,68,mobilehub,False
loyal-wali neque plus furniture 11,loyal-wali neque,20592.19,3.5,4061,5897,1071,home,furniture,62,cloudtail india,False
"sarna, loyal and dugal aperiam plus kitchenware 13","sarna, loyal",11400.94,4.2,2708,4177,1291,home,kitchenware,20,mobilehub,False
"tella, raju and das libero lite kitchenware 14","tella, raju",35358.88,4.9,2653,9917,3518,home,kitchenware,0,supercomnet,False
ramesh-chakrabarti magnam pro headphones 14,ramesh-chakrabarti magnam,20485.78,4.7,7767,7868,556,electronics,headphones,9,supercomnet,False
bansal-gade est ultra jeans 13,bansal-gade est,19357.75,3.6,8523,3927,605,fashion,jeans,22,retailnet,False
lalla llc mollitia pro microwaves 7,lalla llc,16409.37,4.5,2490,4517,1702,appliances,microwaves,0,retailnet,False
"prashad, patla and sahota animi plus refrigerators 11","prashad, patla",38150.95,4.8,4646,522,142,appliances,refrigerators,46,supercomnet,False
nazareth inc accusamus pro kitchenware 12,nazareth inc,10099.97,3.8,524,1323,651,home,kitchenware,33,retailnet,False
"ramanathan, balan and doctor aperiam lite washing machines 3","ramanathan, balan",44388.13,4.6,2336,1053,346,appliances,washing machines,0,homecare solutions,False
ahluwalia-mitter corrupti plus microwaves 11,ahluwalia-mitter corrupti,24288.32,3.2,5980,3935,1706,appliances,microwaves,6,flipkart assured,False
nagi llc impedit plus lighting 10,nagi llc,4446.65,4.0,9955,5514,1673,home,lighting,27,supercomnet,False
sha inc a pro headphones 10,sha inc,47183.37,4.6,8477,2384,560,electronics,headphones,0,supercomnet,False
"bedi, dash and bumb repellat ultra smartwatches 10","bedi, dash",19362.5,4.8,9574,6339,2509,electronics,smartwatches,18,fashionplus,False
upadhyay llc repudiandae lite headphones 9,upadhyay llc,152.3,3.0,7456,6946,254,electronics,headphones,0,electroworld,False
pillay plc voluptatum pro smartphones 14,pillay plc,132209.08,3.8,1022,3799,719,electronics,smartphones,0,flipkart assured,False
zachariah-cherian iusto lite shoes 12,zachariah-cherian iusto,2282.55,3.4,8455,5426,1459,fashion,shoes,11,mobilehub,False
behl inc pariatur pro decor 2,behl inc,24061.37,4.9,8798,5524,913,home,decor,0,flipkart assured,False
"pingle, dhaliwal and baria minima ultra laptops 11","pingle, dhaliwal",129898.41,4.3,4799,6369,1973,electronics,laptops,11,cloudtail india,False
"viswanathan, dash and shukla nobis pro washing machines 8","viswanathan, dash",43522.57,3.5,3706,2208,663,appliances,washing machines,46,fashionplus,False
"kuruvilla, kumer and munshi modi lite kitchenware 6","kuruvilla, kumer",6328.95,4.9,5485,4371,1098,home,kitchenware,0,flipkart assured,False
dara ltd sint ultra kitchenware 11,dara ltd,30214.83,3.1,8638,4044,547,home,kitchenware,45,electroworld,False
krishnamurthy ltd delectus plus kitchenware 11,krishnamurthy ltd,6659.81,4.3,5223,9712,4613,home,kitchenware,45,homecare solutions,False
"majumdar, sharaf and chanda voluptates lite dresses 11","majumdar, sharaf",33704.24,4.6,9398,6426,1926,fashion,dresses,33,electroworld,False
dubey-narasimhan vel ultra shoes 2,dubey-narasimhan vel,10175.73,3.8,5643,3210,366,fashion,shoes,36,retailnet,False
babu group doloribus plus smartwatches 7,babu group,7651.38,5.0,6710,3106,70,electronics,smartwatches,0,homecare solutions,False
"madan, yohannan and mistry consequatur plus decor 10","madan, yohannan",14846.19,3.8,6719,9494,387,home,decor,69,fashionplus,False
thaker-lad sunt pro refrigerators 12,thaker-lad sunt,31716.14,4.6,9950,8930,3197,appliances,refrigerators,37,retailnet,False
"barman, chatterjee and shah ex pro t-shirts 5","barman, chatterjee",1360.51,4.5,1038,3540,1419,fashion,t-shirts,0,supercomnet,False
palla-trivedi quos ultra kitchenware 9,palla-trivedi quos,49412.67,3.6,8802,4864,2070,home,kitchenware,0,cloudtail india,False
kale inc suscipit ultra refrigerators 6,kale inc,20308.0,3.4,9918,7985,2456,appliances,refrigerators,48,mobilehub,False
"memon, savant and sura neque lite laptops 1","memon, savant",136824.22,4.0,4800,7927,863,electronics,laptops,0,electroworld,False
sahni group illo pro smartphones 2,sahni group,140184.86,3.8,2340,8645,2612,electronics,smartphones,0,fashionplus,False
chandra llc dolor pro dresses 6,chandra llc,2036.24,3.5,1306,7120,2036,fashion,dresses,0,retailnet,False
"bora, som and oza maiores pro lighting 13","bora, som",48356.02,4.6,3407,9607,1694,home,lighting,41,homecare solutions,False
anne ltd tempora plus decor 6,anne ltd,12993.66,3.3,9366,9778,3596,home,decor,0,electroworld,False
sama-hari labore pro decor 10,sama-hari labore,27826.08,3.9,2396,3599,1527,home,decor,0,retailnet,False
mohanty-pal asperiores pro shoes 9,mohanty-pal asperiores,36420.33,3.4,8174,1979,472,fashion,shoes,57,supercomnet,False
"gopal, reddy and sharma quae pro acs 12","gopal, reddy",33602.03,3.8,599,4101,1003,appliances,acs,39,fashionplus,False
"seshadri, bava and amble qui plus acs 10","seshadri, bava",11829.7,4.4,1483,7098,2214,appliances,acs,0,homecare solutions,False
jhaveri inc harum plus dresses 12,jhaveri inc,21183.92,3.7,8202,8640,1519,fashion,dresses,0,mobilehub,False
gaba-nagar laudantium lite acs 2,gaba-nagar laudantium,7850.9,4.2,4185,2340,454,appliances,acs,32,cloudtail india,False
"sankaran, sama and kamdar quas pro lighting 7","sankaran, sama",18634.87,4.6,1300,9540,134,home,lighting,65,cloudtail india,False
ray-shere quibusdam ultra acs 5,ray-shere quibusdam,7849.57,3.9,6472,6618,2020,appliances,acs,0,cloudtail india,False
sengupta plc voluptatibus plus t-shirts 11,sengupta plc,1045.38,4.0,801,9845,2649,fashion,t-shirts,0,homecare solutions,False
sankar-desai dolor pro smartphones 13,sankar-desai dolor,79571.86,3.2,5254,3338,207,electronics,smartphones,21,homecare solutions,False
suri-sandal sunt plus microwaves 14,suri-sandal sunt,34244.19,4.9,6465,4312,1304,appliances,microwaves,44,electroworld,False
thaker-tiwari ipsa ultra kitchenware 10,thaker-tiwari ipsa,19445.28,3.6,969,5042,619,home,kitchenware,0,flipkart assured,False
jhaveri-dass officiis plus t-shirts 1,jhaveri-dass officiis,378.93,4.8,1082,3676,1250,fashion,t-shirts,22,mobilehub,False
sundaram ltd voluptatum lite decor 1,sundaram ltd,43480.4,3.0,6101,2587,361,home,decor,46,homecare solutions,False
"gade, bedi and prabhu necessitatibus lite acs 11","gade, bedi",37496.98,3.1,837,4976,1737,appliances,acs,27,cloudtail india,False
nayak and sons inventore pro laptops 9,nayak and,172688.55,4.5,5770,1222,435,electronics,laptops,23,retailnet,False
mandal-parikh cum pro laptops 3,mandal-parikh cum,193192.68,3.3,7533,4277,1019,electronics,laptops,7,supercomnet,False
chandran and sons atque lite furniture 8,chandran and,8726.38,4.6,5731,1099,126,home,furniture,0,supercomnet,False
"din, hegde and chakraborty dolores plus smartwatches 6","din, hegde",33581.05,4.2,9775,9643,3819,electronics,smartwatches,10,retailnet,False
dutta-nadkarni consequuntur ultra refrigerators 6,dutta-nadkarni consequuntur,35845.59,4.9,9660,1785,558,appliances,refrigerators,69,supercomnet,False
kumer group fugit ultra kitchenware 5,kumer group,2493.49,3.4,2623,3108,963,home,kitchenware,0,electroworld,False
chakraborty-narayanan amet pro furniture 2,chakraborty-narayanan amet,25647.16,3.9,1009,4191,2036,home,furniture,52,retailnet,False
rao ltd libero pro smartwatches 12,rao ltd,39166.36,4.2,6780,9763,2316,electronics,smartwatches,70,mobilehub,False
bhargava ltd sapiente plus smartwatches 11,bhargava ltd,48289.63,4.8,8885,5227,2164,electronics,smartwatches,31,supercomnet,False
doshi-kuruvilla cum lite headphones 1,doshi-kuruvilla cum,20067.71,3.3,7348,2966,953,electronics,headphones,0,supercomnet,False
solanki-chana architecto lite smartphones 1,solanki-chana architecto,104871.64,3.4,9107,6939,794,electronics,smartphones,7,electroworld,False
jani-mohan minus pro shoes 15,jani-mohan minus,3789.57,3.8,7799,518,110,fashion,shoes,6,fashionplus,False
sandal and sons modi ultra kitchenware 1,sandal and,42680.21,4.5,825,3507,1592,home,kitchenware,68,flipkart assured,False
narayan-sangha sunt pro furniture 9,narayan-sangha sunt,27330.54,3.2,283,4939,2047,home,furniture,30,fashionplus,False
rana inc consequatur ultra furniture 14,rana inc,38622.46,4.2,5752,2696,95,home,furniture,28,homecare solutions,False
butala inc eaque plus kitchenware 4,butala inc,6096.44,4.1,5254,5575,1226,home,kitchenware,0,mobilehub,False
bhardwaj plc quasi pro furniture 2,bhardwaj plc,46839.15,3.3,6072,8423,3492,home,furniture,28,homecare solutions,False
nanda-garde reiciendis lite lighting 7,nanda-garde reiciendis,48883.01,4.1,1030,4870,2027,home,lighting,37,supercomnet,False
bumb group delectus ultra t-shirts 10,bumb group,869.65,4.7,7674,2138,812,fashion,t-shirts,13,supercomnet,False
warrior-naik aspernatur ultra acs 14,warrior-naik aspernatur,29950.79,4.3,8768,1219,79,appliances,acs,0,cloudtail india,False
devan llc officia plus refrigerators 3,devan llc,26594.07,4.8,2927,5830,2150,appliances,refrigerators,0,retailnet,False
kale-salvi magni lite t-shirts 9,kale-salvi magni,1743.78,4.2,605,2226,164,fashion,t-shirts,62,fashionplus,False
"shetty, parmer and sarkar illum plus smartphones 11","shetty, parmer",93523.83,4.5,1500,3708,1787,electronics,smartphones,40,fashionplus,False
"thakur, rajagopal and natt cupiditate ultra decor 9","thakur, rajagopal",30360.03,4.2,5888,6057,2120,home,decor,38,retailnet,False
chanda llc accusamus pro shoes 6,chanda llc,3747.52,3.1,8199,7701,513,fashion,shoes,70,fashionplus,False
prabhu-pradhan natus plus shoes 7,prabhu-pradhan natus,7663.17,4.9,279,1630,477,fashion,shoes,32,retailnet,False
sankaran-bhatti eligendi plus jeans 1,sankaran-bhatti eligendi,4335.43,4.1,666,7528,1206,fashion,jeans,0,cloudtail india,False
bhatt-gara sapiente pro decor 9,bhatt-gara sapiente,28135.38,3.7,663,766,132,home,decor,17,flipkart assured,False
dewan inc suscipit ultra t-shirts 6,dewan inc,1877.68,3.6,6786,4988,1843,fashion,t-shirts,14,homecare solutions,False
bansal-lata natus lite decor 8,bansal-lata natus,38454.49,4.6,4936,5631,2324,home,decor,46,cloudtail india,False
wadhwa inc a ultra refrigerators 12,wadhwa inc,34781.87,4.1,9882,4788,736,appliances,refrigerators,29,electroworld,False
chad llc quae ultra smartwatches 6,chad llc,28731.25,4.4,8150,9455,242,electronics,smartwatches,0,electroworld,False
"borde, bhatnagar and yohannan est lite t-shirts 5","borde, bhatnagar",429.04,3.0,7359,3558,1371,fashion,t-shirts,45,flipkart assured,False
sabharwal inc doloribus pro microwaves 12,sabharwal inc,39100.86,5.0,3121,2444,427,appliances,microwaves,0,mobilehub,False
walia llc quod ultra lighting 12,walia llc,43761.86,4.5,9105,9013,2549,home,lighting,67,electroworld,False
prakash inc facilis lite t-shirts 9,prakash inc,1560.63,4.1,8293,1229,171,fashion,t-shirts,37,fashionplus,False
"mand, vyas and kulkarni eaque ultra lighting 8","mand, vyas",7666.97,4.9,8315,9005,1632,home,lighting,56,cloudtail india,False
"ratti, vasa and ghose cum ultra laptops 15","ratti, vasa",26285.74,3.5,9143,1329,307,electronics,laptops,8,supercomnet,False
raju-munshi quod ultra jeans 9,raju-munshi quod,7895.94,3.1,5849,3771,1152,fashion,jeans,0,mobilehub,False
minhas-ratti magnam ultra kitchenware 2,minhas-ratti magnam,44252.98,3.8,8964,6034,2768,home,kitchenware,0,fashionplus,False
sandhu llc eveniet plus acs 12,sandhu llc,37173.74,5.0,5764,9039,4257,appliances,acs,40,flipkart assured,False
chowdhury-soman est pro t-shirts 3,chowdhury-soman est,205.82,4.4,2828,3548,1241,fashion,t-shirts,24,electroworld,False
mohan ltd autem ultra decor 7,mohan ltd,33354.99,4.9,6820,5099,2096,home,decor,11,supercomnet,False
sur-nadig dicta ultra washing machines 14,sur-nadig dicta,44100.2,4.9,8901,1454,569,appliances,washing machines,57,retailnet,False
"jayaraman, amble and morar eius ultra jeans 14","jayaraman, amble",7781.51,4.4,5773,4789,281,fashion,jeans,0,electroworld,False
"bhat, brar and gade repellat ultra acs 5","bhat, brar",40593.64,4.9,6971,2101,590,appliances,acs,30,electroworld,False
dhar-vasa nostrum ultra kitchenware 5,dhar-vasa nostrum,45681.95,3.3,2912,4471,1166,home,kitchenware,43,flipkart assured,False
"chatterjee, rajagopal and anne magni lite kitchenware 5","chatterjee, rajagopal",18508.19,4.1,619,5198,2039,home,kitchenware,0,mobilehub,False
murthy and sons labore pro jeans 13,murthy and,23957.72,3.0,641,8158,2765,fashion,jeans,29,fashionplus,False
arora inc consequatur lite dresses 1,arora inc,47993.8,4.0,2124,1676,111,fashion,dresses,0,retailnet,False
"ratta, chokshi and iyengar ut plus kitchenware 4","ratta, chokshi",35190.52,4.3,9026,8741,169,home,kitchenware,21,flipkart assured,False
sharma llc cupiditate plus kitchenware 4,sharma llc,33531.24,3.1,9650,6910,850,home,kitchenware,22,fashionplus,False
rastogi-lata porro pro laptops 15,rastogi-lata porro,122333.17,4.3,6640,3596,354,electronics,laptops,65,supercomnet,False
dube-soman recusandae pro lighting 6,dube-soman recusandae,33519.41,3.6,7454,750,56,home,lighting,35,homecare solutions,False
minhas ltd laudantium ultra t-shirts 2,minhas ltd,1913.63,4.4,4376,7694,3689,fashion,t-shirts,6,homecare solutions,False
karpe plc qui plus jeans 1,karpe plc,18408.36,3.1,5594,9063,3750,fashion,jeans,41,electroworld,False
"edwin, soman and ganguly magnam ultra headphones 10","edwin, soman",37133.05,3.2,7845,9210,1630,electronics,headphones,11,mobilehub,False
devi-raval tempora lite smartwatches 7,devi-raval tempora,25716.19,4.5,2791,8527,2928,electronics,smartwatches,9,fashionplus,False
"johal, parekh and thakkar tenetur ultra smartwatches 3","johal, parekh",46872.48,4.9,1869,5148,21,electronics,smartwatches,0,homecare solutions,False
dhingra inc ut plus headphones 10,dhingra inc,16818.3,4.9,5752,2772,763,electronics,headphones,16,mobilehub,False
balan-patla quos ultra smartphones 8,balan-patla quos,117739.06,3.2,3155,3338,156,electronics,smartphones,0,retailnet,False
"manda, peri and tandon necessitatibus ultra refrigerators 1","manda, peri",51324.59,4.4,334,4865,569,appliances,refrigerators,7,supercomnet,False
"raman, yogi and nanda eligendi plus shoes 5","raman, yogi",10392.87,3.1,4629,85,30,fashion,shoes,42,retailnet,False
ratta-cheema expedita ultra smartphones 3,ratta-cheema expedita,119059.52,4.5,6963,358,76,electronics,smartphones,58,mobilehub,False
"panchal, doshi and dey itaque ultra decor 8","panchal, doshi",33660.34,4.3,769,7616,2354,home,decor,22,fashionplus,False
ghose-dalal quas plus acs 1,ghose-dalal quas,13619.41,4.2,1886,2595,780,appliances,acs,0,mobilehub,False
chaudry ltd quidem lite washing machines 10,chaudry ltd,35297.2,4.4,2158,6635,302,appliances,washing machines,63,cloudtail india,False
gara-thakur eius ultra washing machines 9,gara-thakur eius,15334.45,4.5,920,1812,152,appliances,washing machines,65,flipkart assured,False
sachdeva-zachariah praesentium pro headphones 3,sachdeva-zachariah praesentium,35482.78,3.7,6749,7824,1479,electronics,headphones,16,cloudtail india,False
bahri-arya alias pro refrigerators 6,bahri-arya alias,53879.67,3.9,6742,1482,445,appliances,refrigerators,63,mobilehub,False
"madan, bhalla and kata accusamus lite dresses 6","madan, bhalla",43789.18,4.5,501,3568,603,fashion,dresses,0,mobilehub,False
natarajan plc iusto lite acs 13,natarajan plc,28212.55,4.1,8720,444,174,appliances,acs,0,cloudtail india,False
bhardwaj-vaidya quia ultra laptops 11,bhardwaj-vaidya quia,93935.33,3.3,6978,8504,3270,electronics,laptops,0,mobilehub,False
pingle llc dicta ultra kitchenware 2,pingle llc,47134.64,3.0,3443,9687,4506,home,kitchenware,12,electroworld,False
zachariah group fugit lite t-shirts 14,zachariah group,1735.85,4.5,347,4968,707,fashion,t-shirts,44,flipkart assured,False
khatri llc impedit ultra acs 6,khatri llc,14697.79,4.7,7380,9276,3316,appliances,acs,0,fashionplus,False
garde-ahuja quis ultra furniture 5,garde-ahuja quis,10126.39,5.0,2734,825,95,home,furniture,50,homecare solutions,False
"kibe, naik and karan dicta pro smartwatches 9","kibe, naik",15122.04,4.2,2475,1603,42,electronics,smartwatches,6,cloudtail india,False
patil and sons nam lite dresses 1,patil and,24735.6,4.2,6964,5984,1470,fashion,dresses,5,homecare solutions,False
dugal-borah eum ultra decor 10,dugal-borah eum,13166.51,3.1,358,3116,1002,home,decor,11,homecare solutions,False
pingle llc maiores pro dresses 9,pingle llc,22332.8,4.6,1589,1052,419,fashion,dresses,67,mobilehub,False
boase inc possimus lite decor 10,boase inc,5559.22,3.7,5195,215,102,home,decor,0,fashionplus,False
"ganguly, swaminathan and prakash sed plus microwaves 12","ganguly, swaminathan",13979.44,3.9,5703,9923,877,appliances,microwaves,53,cloudtail india,False
bal-kar sequi plus furniture 8,bal-kar sequi,10945.55,3.9,2045,1645,511,home,furniture,70,retailnet,False
ghose plc nihil ultra decor 1,ghose plc,4911.07,4.2,9604,7669,815,home,decor,36,cloudtail india,False
"shere, shanker and vasa est plus acs 9","shere, shanker",7235.31,4.0,8747,1768,480,appliances,acs,63,supercomnet,False
"sen, murthy and sethi ullam plus acs 2","sen, murthy",31715.58,3.3,487,431,130,appliances,acs,43,flipkart assured,False
edwin inc ipsam pro washing machines 13,edwin inc,8268.66,4.1,1096,1264,62,appliances,washing machines,24,supercomnet,False
dixit-chaudhuri accusamus pro furniture 14,dixit-chaudhuri accusamus,42492.15,4.0,1055,4292,2094,home,furniture,11,homecare solutions,False
kalla-karnik ipsa lite smartwatches 4,kalla-karnik ipsa,21207.81,3.3,2775,8551,212,electronics,smartwatches,51,fashionplus,False
naik plc inventore ultra dresses 3,naik plc,26617.22,3.2,8159,1873,175,fashion,dresses,5,fashionplus,False
khurana plc perferendis pro shoes 3,khurana plc,29967.43,3.2,7605,5350,93,fashion,shoes,62,flipkart assured,False
rout-parsa dignissimos pro dresses 11,rout-parsa dignissimos,26294.81,4.5,54,7762,2271,fashion,dresses,0,mobilehub,False
padmanabhan and sons vero ultra shoes 11,padmanabhan and,9916.69,3.0,120,4580,2220,fashion,shoes,46,supercomnet,False
goswami-suresh numquam lite washing machines 10,goswami-suresh numquam,30848.07,3.1,5400,7132,717,appliances,washing machines,23,flipkart assured,False
"shan, srivastava and mani laborum lite dresses 6","shan, srivastava",3113.87,4.2,6235,4353,552,fashion,dresses,28,homecare solutions,False
magar llc iure ultra smartphones 14,magar llc,66183.16,4.3,9012,3075,15,electronics,smartphones,8,fashionplus,False
parekh-bir voluptas plus headphones 10,parekh-bir voluptas,2244.86,4.3,7470,2900,549,electronics,headphones,54,fashionplus,False
"ratta, cheema and krishnamurthy magni pro jeans 10","ratta, cheema",3584.55,4.2,7657,4057,1073,fashion,jeans,12,electroworld,False
padmanabhan and sons nisi pro dresses 12,padmanabhan and,41653.86,4.0,8788,5747,685,fashion,dresses,0,retailnet,False
"patla, dayal and rao quaerat lite acs 9","patla, dayal",8311.55,4.4,4086,4001,1916,appliances,acs,0,cloudtail india,False
"sarkar, gera and rastogi sed lite lighting 15","sarkar, gera",27920.69,3.4,844,3446,1408,home,lighting,44,electroworld,False
"bains, subramaniam and goda perspiciatis plus decor 5","bains, subramaniam",32219.59,3.6,3599,7040,1915,home,decor,0,mobilehub,False
"randhawa, thaker and mallick dicta ultra shoes 9","randhawa, thaker",40412.19,3.3,8541,5993,2746,fashion,shoes,53,homecare solutions,False
raju plc amet pro washing machines 12,raju plc,5101.4,4.4,9326,9442,2594,appliances,washing machines,32,cloudtail india,False
bahri-chaudhari dolorum ultra furniture 4,bahri-chaudhari dolorum,9543.71,3.9,3831,2044,85,home,furniture,0,supercomnet,False
"kaur, bala and taneja dolorem lite decor 4","kaur, bala",29317.93,3.2,182,8109,3253,home,decor,25,cloudtail india,False
"grover, rout and jain laborum ultra acs 1","grover, rout",35234.76,3.8,2803,362,120,appliances,acs,0,mobilehub,False
nagarajan inc tempora lite lighting 12,nagarajan inc,29268.28,4.4,402,5085,1787,home,lighting,18,homecare solutions,False
"ravi, sastry and rajan ut ultra shoes 3","ravi, sastry",25780.2,4.5,6866,4931,1082,fashion,shoes,0,electroworld,False
"chawla, char and sarma numquam pro microwaves 11","chawla, char",45868.57,3.1,4752,7381,1936,appliances,microwaves,70,retailnet,False
"chadha, mitter and bhargava impedit ultra kitchenware 15","chadha, mitter",19539.54,4.8,8306,6015,1363,home,kitchenware,23,mobilehub,False
savant-sanghvi placeat ultra dresses 2,savant-sanghvi placeat,1750.7,4.8,7494,746,61,fashion,dresses,68,mobilehub,False
virk-ravi sequi ultra laptops 12,virk-ravi sequi,160622.12,3.3,2872,8046,747,electronics,laptops,55,fashionplus,False
borde ltd expedita lite jeans 4,borde ltd,45593.04,3.3,8044,9279,1214,fashion,jeans,60,supercomnet,False
bobal-khanna aspernatur pro smartphones 12,bobal-khanna aspernatur,25814.03,4.6,6235,702,152,electronics,smartphones,0,homecare solutions,False
dara-bose expedita pro lighting 1,dara-bose expedita,20618.83,4.5,571,2562,283,home,lighting,5,flipkart assured,False
"srinivas, lad and sahota voluptatibus ultra shoes 5","srinivas, lad",28052.63,5.0,5199,8623,1934,fashion,shoes,41,mobilehub,False
kashyap plc est ultra lighting 5,kashyap plc,48202.35,4.4,9450,4572,1132,home,lighting,56,flipkart assured,False
gole-anand nisi plus jeans 12,gole-anand nisi,13789.82,3.7,2857,3329,1288,fashion,jeans,45,mobilehub,False
"mani, sachdev and patla repellat plus acs 7","mani, sachdev",24897.92,4.3,8605,2673,848,appliances,acs,46,flipkart assured,False
"tailor, pillai and keer eum lite shoes 4","tailor, pillai",29536.1,3.9,17,3137,948,fashion,shoes,0,homecare solutions,False
deep-sharaf explicabo pro headphones 10,deep-sharaf explicabo,15793.72,4.9,8830,7167,2611,electronics,headphones,0,flipkart assured,False
"raval, shenoy and patel accusantium lite headphones 2","raval, shenoy",27472.64,3.1,4060,3693,153,electronics,headphones,53,cloudtail india,False
chandran-kade alias pro lighting 10,chandran-kade alias,1810.39,4.8,1326,5370,1322,home,lighting,31,flipkart assured,False
ramesh plc quod lite furniture 12,ramesh plc,20505.16,3.2,8895,7292,3094,home,furniture,55,fashionplus,False
chaudhari-tandon deserunt plus washing machines 10,chaudhari-tandon deserunt,37929.18,4.2,2424,6071,2639,appliances,washing machines,55,supercomnet,False
buch-hayre iusto plus t-shirts 1,buch-hayre iusto,648.19,3.1,451,8830,2245,fashion,t-shirts,0,homecare solutions,False
yogi ltd illum pro lighting 5,yogi ltd,15871.6,3.8,9431,4296,1349,home,lighting,40,cloudtail india,False
tandon-chauhan consectetur pro decor 10,tandon-chauhan consectetur,24165.08,5.0,6705,9263,88,home,decor,69,electroworld,False
kaul-chhabra aspernatur lite laptops 4,kaul-chhabra aspernatur,26031.58,3.1,2123,5293,1338,electronics,laptops,20,fashionplus,False
cherian and sons deserunt plus jeans 12,cherian and,34742.11,4.2,4427,5947,2104,fashion,jeans,39,mobilehub,False
tara-koshy illo ultra acs 10,tara-koshy illo,16401.85,4.2,4701,3157,317,appliances,acs,59,fashionplus,False
"kanda, lala and anand illum plus decor 5","kanda, lala",33123.27,3.0,9288,839,401,home,decor,35,cloudtail india,False
"sheth, bora and gala dolores plus smartwatches 8","sheth, bora",32261.61,5.0,5966,9258,4443,electronics,smartwatches,0,supercomnet,False
krish llc dicta ultra smartwatches 3,krish llc,44090.74,4.0,352,4025,1733,electronics,smartwatches,0,mobilehub,False
dayal inc nemo ultra jeans 8,dayal inc,33420.82,4.8,669,5572,84,fashion,jeans,48,electroworld,False
comar-gola sint ultra microwaves 11,comar-gola sint,41391.82,3.8,4289,8460,1430,appliances,microwaves,0,homecare solutions,False
soman inc corporis ultra laptops 12,soman inc,143412.98,3.6,4574,7761,2051,electronics,laptops,64,mobilehub,False
loyal-anne nesciunt ultra smartwatches 3,loyal-anne nesciunt,9110.51,5.0,7639,8841,4093,electronics,smartwatches,14,cloudtail india,False
"yogi, dewan and rajan facilis plus furniture 12","yogi, dewan",15668.42,4.6,6311,842,63,home,furniture,13,flipkart assured,False
dasgupta-gaba voluptatem plus shoes 6,dasgupta-gaba voluptatem,48462.97,4.2,6974,5805,740,fashion,shoes,0,mobilehub,False
tripathi-barad molestiae lite microwaves 9,tripathi-barad molestiae,1096.51,5.0,3318,843,95,appliances,microwaves,0,electroworld,False
rattan and sons asperiores lite shoes 6,rattan and,11967.91,4.7,7653,3262,1085,fashion,shoes,29,electroworld,False
shukla-yadav delectus plus lighting 7,shukla-yadav delectus,40636.37,4.8,5061,6177,2321,home,lighting,0,flipkart assured,False
raghavan-sharma minus ultra kitchenware 10,raghavan-sharma minus,27799.37,4.2,6013,6416,239,home,kitchenware,26,mobilehub,False
"upadhyay, chandra and sridhar optio lite microwaves 15","upadhyay, chandra",2634.96,4.2,1496,9283,4389,appliances,microwaves,32,cloudtail india,False
"hans, kothari and natt magnam lite jeans 15","hans, kothari",16522.85,3.9,6942,9285,3400,fashion,jeans,18,mobilehub,False
chaudry and sons hic pro jeans 11,chaudry and,49607.25,3.8,8931,4517,770,fashion,jeans,0,retailnet,False
sha-tara eveniet plus smartphones 13,sha-tara eveniet,36434.18,4.1,1852,1041,472,electronics,smartphones,31,homecare solutions,False
"swaminathan, mutti and ramesh officiis ultra washing machines 6","swaminathan, mutti",2231.72,3.5,8454,8008,2109,appliances,washing machines,43,mobilehub,False
walia-thaman eum plus refrigerators 14,walia-thaman eum,31395.88,3.6,7093,2402,273,appliances,refrigerators,13,supercomnet,False
"oak, keer and aggarwal sed pro refrigerators 4","oak, keer",15070.32,3.6,239,2903,1035,appliances,refrigerators,0,fashionplus,False
mall inc voluptates lite headphones 12,mall inc,44110.09,3.7,4915,236,82,electronics,headphones,0,flipkart assured,False
mody-bakshi quis lite lighting 14,mody-bakshi quis,3488.25,3.9,3692,3382,928,home,lighting,41,mobilehub,False
doshi-minhas id plus dresses 14,doshi-minhas id,6045.44,3.7,1167,2270,549,fashion,dresses,0,fashionplus,False
mistry inc sunt ultra dresses 13,mistry inc,42206.51,3.8,1037,8788,3905,fashion,dresses,37,homecare solutions,False
"palla, zacharia and mallick facilis pro kitchenware 5","palla, zacharia",41919.8,3.1,499,5947,2110,home,kitchenware,30,retailnet,False
"kibe, rama and acharya eveniet lite decor 15","kibe, rama",36589.57,4.3,5528,5153,1892,home,decor,32,flipkart assured,False
